ID	Cell Type	Cell Subtype
198137	colorectal_tumor	colorectal_tumor (MSI)
198142	colorectal_tumor	colorectal_tumor (MYC-high)
198143	Fibroblasts	Fibroblasts (iCAF)
198150	RTM_LA	RTM_LA (FOLR2-high)
198152	TCD8_naive	TCD8_naive (GZMB-high)
198158	Fibroblasts	Fibroblasts (LRRC15+)
198159	Endothelial	Endothelial (tip)
198163	colorectal_tumor	colorectal_tumor (WNT-high)
198169	colorectal_tumor	colorectal_tumor (WNT-high)
198171	colorectal_tumor	colorectal_tumor (WNT-high)
198175	colorectal_tumor	colorectal_tumor (WNT-high)
198178	colorectal_tumor	colorectal_tumor (KRAS-high)
198184	colorectal_tumor	colorectal_tumor (WNT-high)
198185	colorectal_tumor	colorectal_tumor (KRAS-high)
198193	Fibroblasts	Fibroblasts (LRRC15+)
198198	Mac_LA	Mac_LA (TREM2-high)
198202	B_cells	B_cells (naive)
198204	colorectal_tumor	colorectal_tumor (KRAS-high)
198208	Fibroblasts	Fibroblasts (LRRC15+)
198213	Mac_LA	Mac_LA (SPP1-high)
198215	Fibroblasts	Fibroblasts (myCAF)
198220	colorectal_tumor	colorectal_tumor (EMT-high)
198222	colorectal_tumor	colorectal_tumor (EMT-high)
198226	colorectal_tumor	colorectal_tumor (MYC-high)
198231	colorectal_tumor	colorectal_tumor (WNT-high)
198242	Fibroblasts	Fibroblasts (myCAF)
198247	Fibroblasts	Fibroblasts (iCAF)
198250	colorectal_tumor	colorectal_tumor (MYC-high)
198254	colorectal_tumor	colorectal_tumor (EMT-high)
198255	Fibroblasts	Fibroblasts (iCAF)
198267	colorectal_tumor	colorectal_tumor (MSI)
198268	Endothelial	Endothelial (tip)
198273	colorectal_tumor	colorectal_tumor (MYC-high)
198275	colorectal_tumor	colorectal_tumor (KRAS-high)
198276	colorectal_tumor	colorectal_tumor (MSI)
198287	colorectal_tumor	colorectal_tumor (MSI)
198288	Endothelial	Endothelial (tip)
198289	colorectal_tumor	colorectal_tumor (MSI)
198290	colorectal_tumor	colorectal_tumor (EMT-high)
198291	colorectal_tumor	colorectal_tumor (MSI)
